2026-07-08 06:38:48 status half-configured gpg:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:48 status installed gpg:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:48 configure gnupg-utils:amd64 2.2.40-1.1+deb12u2 <none>
2026-07-08 06:38:48 status unpacked gnupg-utils:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:48 status half-configured gnupg-utils:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:48 status installed gnupg-utils:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:48 configure gpg-agent:amd64 2.2.40-1.1+deb12u2 <none>
2026-07-08 06:38:48 status unpacked gpg-agent:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:48 status half-configured gpg-agent:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 status installed gpg-agent:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 configure gpgsm:amd64 2.2.40-1.1+deb12u2 <none>
2026-07-08 06:38:49 status unpacked gpgsm:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 status half-configured gpgsm:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 status installed gpgsm:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 configure dirmngr:amd64 2.2.40-1.1+deb12u2 <none>
2026-07-08 06:38:49 status unpacked dirmngr:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 status half-configured dirmngr:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 status installed dirmngr:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 configure gpg-wks-server:amd64 2.2.40-1.1+deb12u2 <none>
2026-07-08 06:38:49 status unpacked gpg-wks-server:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 status half-configured gpg-wks-server:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 status installed gpg-wks-server:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 configure gpg-wks-client:amd64 2.2.40-1.1+deb12u2 <none>
2026-07-08 06:38:49 status unpacked gpg-wks-client:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 status half-configured gpg-wks-client:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 status installed gpg-wks-client:amd64 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 configure gnupg:all 2.2.40-1.1+deb12u2 <none>
2026-07-08 06:38:49 status unpacked gnupg:all 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 status half-configured gnupg:all 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 status installed gnupg:all 2.2.40-1.1+deb12u2
2026-07-08 06:38:49 trigproc libc-bin:amd64 2.36-9+deb12u13 <none>
2026-07-08 06:38:49 status half-configured libc-bin:amd64 2.36-9+deb12u13
2026-07-08 06:38:49 status installed libc-bin:amd64 2.36-9+deb12u13
2026-07-08 06:38:49 trigproc ca-certificates:all 20230311+deb12u1 <none>
2026-07-08 06:38:49 status half-configured ca-certificates:all 20230311+deb12u1
2026-07-08 06:38:50 status installed ca-certificates:all 20230311+deb12u1
2026-07-08 06:38:54 startup archives unpack
2026-07-08 06:38:54 upgrade base-files:amd64 12.4+deb12u13 12.4+deb12u14
2026-07-08 06:38:54 status half-configured base-files:amd64 12.4+deb12u13
2026-07-08 06:38:54 status unpacked base-files:amd64 12.4+deb12u13
2026-07-08 06:38:54 status half-installed base-files:amd64 12.4+deb12u13
2026-07-08 06:38:54 status unpacked base-files:amd64 12.4+deb12u14
2026-07-08 06:38:54 startup packages configure
2026-07-08 06:38:54 configure base-files:amd64 12.4+deb12u14 <none>
2026-07-08 06:38:54 status unpacked base-files:amd64 12.4+deb12u14
2026-07-08 06:38:54 status half-configured base-files:amd64 12.4+deb12u14
2026-07-08 06:38:54 status installed base-files:amd64 12.4+deb12u14
2026-07-08 06:38:54 startup archives unpack
2026-07-08 06:38:54 upgrade bash:amd64 5.2.15-2+b10 5.2.15-2+b13
2026-07-08 06:38:54 status half-configured bash:amd64 5.2.15-2+b10
2026-07-08 06:38:54 status unpacked bash:amd64 5.2.15-2+b10
2026-07-08 06:38:54 status half-installed bash:amd64 5.2.15-2+b10
2026-07-08 06:38:54 status triggers-pending debianutils:amd64 5.7-0.5~deb12u1
2026-07-08 06:38:54 status unpacked bash:amd64 5.2.15-2+b13
2026-07-08 06:38:54 startup packages configure
2026-07-08 06:38:54 configure bash:amd64 5.2.15-2+b13 <none>
2026-07-08 06:38:54 status unpacked bash:amd64 5.2.15-2+b13
2026-07-08 06:38:54 status half-configured bash:amd64 5.2.15-2+b13
2026-07-08 06:38:54 status installed bash:amd64 5.2.15-2+b13
2026-07-08 06:38:54 startup archives unpack
2026-07-08 06:38:54 upgrade dpkg:amd64 1.21.22 1.21.23
2026-07-08 06:38:54 status half-configured dpkg:amd64 1.21.22
2026-07-08 06:38:54 status unpacked dpkg:amd64 1.21.22
2026-07-08 06:38:54 status half-installed dpkg:amd64 1.21.22
2026-07-08 06:38:55 status unpacked dpkg:amd64 1.21.23
2026-07-08 06:38:55 startup packages configure
2026-07-08 06:38:55 configure dpkg:amd64 1.21.23 <none>
2026-07-08 06:38:55 status unpacked dpkg:amd64 1.21.23
2026-07-08 06:38:55 status half-configured dpkg:amd64 1.21.23
2026-07-08 06:38:55 status installed dpkg:amd64 1.21.23
2026-07-08 06:38:55 startup archives unpack
2026-07-08 06:38:55 upgrade sed:amd64 4.9-1 4.9-1+deb12u1
2026-07-08 06:38:55 status half-configured sed:amd64 4.9-1
2026-07-08 06:38:55 status unpacked sed:amd64 4.9-1
2026-07-08 06:38:55 status half-installed sed:amd64 4.9-1
2026-07-08 06:38:55 status unpacked sed:amd64 4.9-1+deb12u1
2026-07-08 06:38:55 startup packages configure
2026-07-08 06:38:55 configure sed:amd64 4.9-1+deb12u1 <none>
2026-07-08 06:38:55 status unpacked sed:amd64 4.9-1+deb12u1
2026-07-08 06:38:55 status half-configured sed:amd64 4.9-1+deb12u1
2026-07-08 06:38:55 status installed sed:amd64 4.9-1+deb12u1
2026-07-08 06:38:55 startup archives unpack
2026-07-08 06:38:55 upgrade libc6:amd64 2.36-9+deb12u13 2.36-9+deb12u14
2026-07-08 06:38:55 status triggers-pending libc-bin:amd64 2.36-9+deb12u13
2026-07-08 06:38:55 status half-configured libc6:amd64 2.36-9+deb12u13
2026-07-08 06:38:55 status unpacked libc6:amd64 2.36-9+deb12u13
2026-07-08 06:38:55 status half-installed libc6:amd64 2.36-9+deb12u13
2026-07-08 06:38:56 status unpacked libc6:amd64 2.36-9+deb12u14
2026-07-08 06:38:56 startup packages configure
2026-07-08 06:38:56 configure libc6:amd64 2.36-9+deb12u14 <none>
2026-07-08 06:38:56 status unpacked libc6:amd64 2.36-9+deb12u14
2026-07-08 06:38:56 status half-configured libc6:amd64 2.36-9+deb12u14
2026-07-08 06:38:58 status installed libc6:amd64 2.36-9+deb12u14
2026-07-08 06:38:58 startup archives unpack
2026-07-08 06:38:58 upgrade libc-bin:amd64 2.36-9+deb12u13 2.36-9+deb12u14
2026-07-08 06:38:58 status half-configured libc-bin:amd64 2.36-9+deb12u13
2026-07-08 06:38:58 status unpacked libc-bin:amd64 2.36-9+deb12u13
2026-07-08 06:38:58 status half-installed libc-bin:amd64 2.36-9+deb12u13
2026-07-08 06:38:58 status unpacked libc-bin:amd64 2.36-9+deb12u14
2026-07-08 06:38:58 startup packages configure
2026-07-08 06:38:58 configure libc-bin:amd64 2.36-9+deb12u14 <none>
2026-07-08 06:38:58 status unpacked libc-bin:amd64 2.36-9+deb12u14
2026-07-08 06:38:58 status half-configured libc-bin:amd64 2.36-9+deb12u14
2026-07-08 06:38:58 status installed libc-bin:amd64 2.36-9+deb12u14
2026-07-08 06:38:58 startup archives unpack
2026-07-08 06:38:58 upgrade libcap2:amd64 1:2.66-4+deb12u2+b2 1:2.66-4+deb12u3+b1
2026-07-08 06:38:58 status triggers-pending libc-bin:amd64 2.36-9+deb12u14
2026-07-08 06:38:58 status half-configured libcap2:amd64 1:2.66-4+deb12u2+b2
2026-07-08 06:38:58 status unpacked libcap2:amd64 1:2.66-4+deb12u2+b2
